logicalName,suggestedDomain,suggestedCategory,matchedBy
ccp_knowledgearticlewebsite,WEBCONTENT,Custom,kw:web
ccp_letteraccessrecord,GENERAL,Custom,fallback
ccp_listofvalue,GENERAL,Custom,fallback
ccp_loanclimate,GENERAL,Custom,fallback
ccp_mapping,GENERAL,Custom,fallback
ccp_meeting,VERGADERBEHEER,Custom,kw:meeting
ccp_meetingattendance,VERGADERBEHEER,Custom,kw:meeting
ccp_meetingtype,VERGADERBEHEER,Custom,kw:meeting
ccp_meetingtype_ccp_agendaitemtype,VERGADERBEHEER,Custom,kw:meeting
ccp_member,GENERAL,Custom,fallback
ccp_microphone,GENERAL,Custom,fallback
ccp_minutes,VERGADERBEHEER,Custom,kw:minutes
ccp_nacecode,GENERAL,Custom,fallback
ccp_notulenbeheerlogging,VERGADERBEHEER,Custom,kw:notulen
ccp_ombudsnormofcomplaint,KLACHTEN,Custom,kw:complaint
ccp_ondertekeningdigitaalvlaanderen,GENERAL,Custom,fallback
ccp_ondertekeningdigitaalvlaanderen_contact,CCSP CONTACTPERSONEN,Custom,kw:contact
ccp_ondertekeningdigitaalvlaanderen_documen,GENERAL,Custom,fallback
ccp_ondertekeningdigitaalvlaanderendocument,GENERAL,Custom,fallback
ccp_openinghours,GENERAL,Custom,fallback
ccp_organisationactivity,CCSP ORGANISATIES,Custom,kw:organisation
ccp_organisationgoals,CCSP ORGANISATIES,Custom,kw:organisation
ccp_originofcomplaint,KLACHTEN,Custom,kw:complaint
ccp_parameter,GENERAL,Custom,fallback
ccp_parameteritem,GENERAL,Custom,fallback
ccp_parameterset,GENERAL,Custom,fallback
ccp_payment,GENERAL,Custom,fallback
ccp_performance,FUNCTIONERING,Custom,kw:performance
ccp_performanceaction,FUNCTIONERING,Custom,kw:performance
ccp_performanceitem,FUNCTIONERING,Custom,kw:performance
ccp_period,INNAME OPENBAAR DOMEIN,Custom,kw:iod
ccp_permit,INNAME OPENBAAR DOMEIN,Custom,kw:permit
ccp_permiteconomy,INNAME OPENBAAR DOMEIN,Custom,kw:permit
ccp_pmerrorlog,GENERAL,Custom,fallback
ccp_portalaction,GENERAL,Custom,fallback
ccp_portalbusinessrule,GENERAL,Custom,fallback
ccp_portalbusinessruleaction,GENERAL,Custom,fallback
ccp_portalbusinessrulecondition,GENERAL,Custom,fallback
ccp_portalrights,GENERAL,Custom,fallback
ccp_portalwebform,WEBCONTENT,Custom,kw:web
ccp_portalwebformsession,WEBCONTENT,Custom,kw:web
ccp_portalwebformstep,WEBCONTENT,Custom,kw:web
ccp_postcomment,GENERAL,Custom,fallback
ccp_postregistrationstep,DIAGRAM POSTREGISTRATIE,Custom,kw:postregistr
ccp_postregistrationstepcondition,DIAGRAM POSTREGISTRATIE,Custom,kw:postregistr
ccp_powers,GENERAL,Custom,fallback
ccp_principleapproval,GENERAL,Custom,fallback
ccp_projectclimate,GENERAL,Custom,fallback
ccp_reasoncomplaintinadmissible,KLACHTEN,Custom,kw:complaint
ccp_recognition,GENERAL,Custom,fallback
ccp_record,GENERAL,Custom,fallback
ccp_referral,GENERAL,Custom,fallback
ccp_registration,GENERAL,Custom,fallback
ccp_reimbursement,VERGOEDING,Custom,kw:reimbursement
ccp_reimbursementitem,VERGOEDING,Custom,kw:reimbursement
ccp_relationship,GENERAL,Custom,fallback
ccp_requestandborrow,GENERAL,Custom,fallback
ccp_requestandborrow_ccp_categoryclimat,GENERAL,Custom,fallback
ccp_requestandborrowbpf,GENERAL,Custom,fallback
ccp_shoppingcarttempquote,GENERAL,Custom,fallback
ccp_signcollection,GENERAL,Custom,fallback
ccp_signdocument,GENERAL,Custom,fallback
ccp_signfield,GENERAL,Custom,fallback
ccp_signingtemplate,GENERAL,Custom,fallback
ccp_signiteration,GENERAL,Custom,fallback
ccp_smalllandscapeelements,GENERAL,Custom,fallback
ccp_smalllandscapeelementtype,GENERAL,Custom,fallback
ccp_socialassistance,GENERAL,Custom,fallback
ccp_sourceclimate,GENERAL,Custom,fallback
ccp_statuslog,GENERAL,Custom,fallback
